id,query,pred_companies,gold_companies,company_ok,pred_period,gold_period,pred_metrics,gold_metrics,metric_f1,pred_correction,gold_correction,correction_ok,latency_sec
1,삼성전자 2025년 사업보고서에서 매출액 알려줘,['삼성전자'],['삼성전자'],True,['2025년'],['2025'],"['매출액', '매출']",['매출액'],0.667,False,False,True,0.0
2,삼성전자 2026년 1분기 영업이익 얼마야?,['삼성전자'],['삼성전자'],True,"['2026년', '1분기']",['2026-03'],['영업이익'],['영업이익'],1.0,False,False,True,0.0
3,삼성전자 연구개발비 얼마야?,['삼성전자'],['삼성전자'],True,[],[],['연구개발비'],['연구개발비'],1.0,False,False,True,0.0
5,삼성전자 반도체 위탁생산 계약금액 얼마야?,['삼성전자'],['삼성전자'],True,[],[],['계약금액'],['계약금액'],1.0,False,False,True,0.0
6,삼성전자 2026년 1월 자기주식 취득예정금액 얼마야?,['삼성전자'],['삼성전자'],True,['2026년'],['2026-01'],[],[],1.0,False,False,True,0.0
7,삼성전자 해외증권시장 상장 결정 내용 알려줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
9,삼성전자 2024년 11월 자기주식취득 공시 정정 전후로 뭐가 바뀌었어?,['삼성전자'],['삼성전자'],True,['2024년'],['2024-11'],[],[],1.0,True,True,True,0.0
10,삼성전자 2025년 2월 자기주식취득 정정공시 내용 알려줘,['삼성전자'],['삼성전자'],True,['2025년'],['2025-02'],[],[],1.0,True,True,True,0.0
11,삼성전자 단일판매공급계약체결 정정 전후 비교해줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,True,True,True,0.0
13,삼성전자 최근 정정공시 이력 알려줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,True,True,True,0.0
14,삼성전자 공급계약 계약상대방이 정정으로 어떻게 바뀌었어?,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,True,True,True,0.0
15,삼성전자 최근 지분 변동 추이 알려줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
17,삼성전자 2025년과 2026년 자기주식취득 규모 비교해줘,['삼성전자'],['삼성전자'],True,"['2025년', '2026년']","['2025', '2026']",[],[],1.0,False,False,True,0.0
18,삼성전자 사업보고서와 분기보고서 실적 비교해줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
19,삼성전자 삼성물산 보유주식 변동 추이 알려줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
21,삼성전자 반도체 위탁생산 계약금액이 최근매출액 대비 몇 %야?,['삼성전자'],['삼성전자'],True,[],[],"['매출액', '매출', '계약금액']","['계약금액', '매출액']",0.8,False,False,True,0.0
22,삼성전자 영업이익률 계산해줘,['삼성전자'],['삼성전자'],True,[],[],"['영업이익', '영업이익률']",['영업이익률'],0.667,False,False,True,0.0
23,삼성전자 부채비율 계산해줘,['삼성전자'],['삼성전자'],True,[],[],['부채비율'],['부채비율'],1.0,False,False,True,0.0
25,삼성전자 최대주주가 누구야?,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
26,삼성전자 삼성물산 보유지분율 알려줘,['삼성전자'],['삼성전자'],True,[],[],['지분율'],['지분율'],1.0,False,False,True,0.0
27,삼성전자 최근 대량보유상황보고서 내용 알려줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
29,삼성전자 지분 보고자 특별관계자 현황 알려줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
30,삼성전자 2025년 9월 지분보고 내용 알려줘,['삼성전자'],['삼성전자'],True,['2025년'],['2025-09'],[],[],1.0,False,False,True,0.0
31,삼성전자 2026년 1월 지분 변동 내역 알려줘,['삼성전자'],['삼성전자'],True,['2026년'],['2026-01'],[],[],1.0,False,False,True,0.0
33,삼성전자 최근 자기주식 취득 결정했어?,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
34,삼성전자 최근 자기주식 처분 결정했어?,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
35,삼성전자 해외 상장 관련 이벤트 있었어?,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
37,삼성전자 최근 대규모 계약 체결 있었어?,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,0.0
38,삼성전자 2026년 3월 자기주식 관련 결정 내용 알려줘,['삼성전자'],['삼성전자'],True,['2026년'],['2026-03'],[],[],1.0,False,False,True,0.0
39,삼성전자 2025년 5월 자기주식처분 결정 내용 알려줘,['삼성전자'],['삼성전자'],True,['2025년'],['2025-05'],[],[],1.0,False,False,True,0.0
