id,query,pred_companies,gold_companies,company_ok,pred_period,gold_period,pred_metrics,gold_metrics,metric_f1,pred_correction,gold_correction,correction_ok,latency_sec
1,삼성전자 2025년 사업보고서에서 매출액 알려줘,['삼성전자'],['삼성전자'],True,['2025'],['2025'],['매출액'],['매출액'],1.0,False,False,True,5.364
2,삼성전자 2026년 1분기 영업이익 얼마야?,['삼성전자'],['삼성전자'],True,['2026-01'],['2026-03'],['영업이익'],['영업이익'],1.0,False,False,True,5.349
3,삼성전자 연구개발비 얼마야?,['삼성전자'],['삼성전자'],True,['2025'],[],['연구개발비'],['연구개발비'],1.0,False,False,True,5.697
5,삼성전자 반도체 위탁생산 계약금액 얼마야?,['삼성전자'],['삼성전자'],True,['2026-08-15'],[],['계약금액'],['계약금액'],1.0,False,False,True,40.413
6,삼성전자 2026년 1월 자기주식 취득예정금액 얼마야?,['삼성전자'],['삼성전자'],True,['2026-01'],['2026-01'],['자기주식 취득예정금액'],[],0.0,False,False,True,6.456
7,삼성전자 해외증권시장 상장 결정 내용 알려줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,5.69
9,삼성전자 2024년 11월 자기주식취득 공시 정정 전후로 뭐가 바뀌었어?,['삼성전자'],['삼성전자'],True,['2024-11'],['2024-11'],['자기주식취득'],[],0.0,True,True,True,6.25
10,삼성전자 2025년 2월 자기주식취득 정정공시 내용 알려줘,['삼성전자'],['삼성전자'],True,['2025-02'],['2025-02'],['자기주식취득'],[],0.0,True,True,True,6.124
11,삼성전자 단일판매공급계약체결 정정 전후 비교해줘,['삼성전자'],['삼성전자'],True,"['2025-08-15', '2026-08-15']",[],['단일판매공급계약체결'],[],0.0,True,True,True,7.447
13,삼성전자 최근 정정공시 이력 알려줘,['삼성전자'],['삼성전자'],True,['2026-08-15'],[],[],[],1.0,True,True,True,5.773
14,삼성전자 공급계약 계약상대방이 정정으로 어떻게 바뀌었어?,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,True,True,True,4.916
15,삼성전자 최근 지분 변동 추이 알려줘,['삼성전자'],['삼성전자'],True,['2026-08'],[],['지분 변동'],[],0.0,False,False,True,5.966
17,삼성전자 2025년과 2026년 자기주식취득 규모 비교해줘,['삼성전자'],['삼성전자'],True,"['2025', '2026']","['2025', '2026']",['자기주식취득'],[],0.0,False,False,True,5.704
18,삼성전자 사업보고서와 분기보고서 실적 비교해줘,['삼성전자'],['삼성전자'],True,[],[],[],[],1.0,False,False,True,5.966
19,삼성전자 삼성물산 보유주식 변동 추이 알려줘,"['삼성전자', '삼성물산']",['삼성전자'],False,['2026-08'],[],['보유주식'],[],0.0,False,False,True,6.4
21,삼성전자 반도체 위탁생산 계약금액이 최근매출액 대비 몇 %야?,['삼성전자'],['삼성전자'],True,['2026-08'],[],"['반도체 위탁생산 계약금액', '최근매출액']","['계약금액', '매출액']",0.0,False,False,True,6.831
22,삼성전자 영업이익률 계산해줘,['삼성전자'],['삼성전자'],True,['2026'],[],['영업이익률'],['영업이익률'],1.0,False,False,True,6.159
23,삼성전자 부채비율 계산해줘,['삼성전자'],['삼성전자'],True,['2025'],[],['부채비율'],['부채비율'],1.0,False,False,True,5.655
25,삼성전자 최대주주가 누구야?,['삼성전자'],['삼성전자'],True,[],[],['최대주주'],[],0.0,False,False,True,5.379
26,삼성전자 삼성물산 보유지분율 알려줘,"['삼성전자', '삼성물산']",['삼성전자'],False,['2026-08'],[],['보유지분율'],['지분율'],0.0,False,False,True,6.425
27,삼성전자 최근 대량보유상황보고서 내용 알려줘,['삼성전자'],['삼성전자'],True,['최근'],[],[],[],1.0,False,False,True,7.438
29,삼성전자 지분 보고자 특별관계자 현황 알려줘,['삼성전자'],['삼성전자'],True,['2026-08-15'],[],['지분 보고자 특별관계자 현황'],[],0.0,False,False,True,6.36
30,삼성전자 2025년 9월 지분보고 내용 알려줘,['삼성전자'],['삼성전자'],True,['2025-09'],['2025-09'],['지분보고'],[],0.0,False,False,True,5.019
31,삼성전자 2026년 1월 지분 변동 내역 알려줘,['삼성전자'],['삼성전자'],True,['2026-01'],['2026-01'],['지분 변동'],[],0.0,False,False,True,5.35
33,삼성전자 최근 자기주식 취득 결정했어?,['삼성전자'],['삼성전자'],True,"['2025-08-15', '2026-08-15']",[],['자기주식 취득'],[],0.0,False,False,True,6.278
34,삼성전자 최근 자기주식 처분 결정했어?,['삼성전자'],['삼성전자'],True,['2026-08-15'],[],['자기주식 처분'],[],0.0,False,False,True,6.616
35,삼성전자 해외 상장 관련 이벤트 있었어?,['삼성전자'],['삼성전자'],True,['2026'],[],['해외 상장'],[],0.0,False,False,True,5.357
37,삼성전자 최근 대규모 계약 체결 있었어?,['삼성전자'],['삼성전자'],True,['2026'],[],['계약 체결'],[],0.0,False,False,True,6.338
38,삼성전자 2026년 3월 자기주식 관련 결정 내용 알려줘,['삼성전자'],['삼성전자'],True,['2026-03'],['2026-03'],['자기주식'],[],0.0,False,False,True,5.486
39,삼성전자 2025년 5월 자기주식처분 결정 내용 알려줘,['삼성전자'],['삼성전자'],True,['2025-05'],['2025-05'],[],[],1.0,False,False,True,5.794
