id,query,route,gold,retrieved_top10,recall@5,recall@10,rr,ndcg@10,task_success,numbers_grounded,has_citation,passed,agent_latency_sec,answer_latency_sec,total_latency_sec
4,삼성전자 임원 현황 알려줘,single_lookup,periodic_20260310002820,periodic_20260515002181|periodic_20260310002820,1.0,1.0,0.5,0.631,True,True,True,True,20.62,14.04,34.66
8,삼성전자 해외증권시장 상장폐지 결정 내용 알려줘,single_lookup,major_20250213001808|major_20241031000508,major_20241031000508|major_20250213001808|major_20241031000536|major_20250213001817|periodic_20260310002820,1.0,1.0,1.0,1.0,True,True,True,True,14.71,6.19,20.9
12,삼성전자 2024년 11월 자기주식취득 정정 사유 뭐야?,correction_analysis,major_20241118000171|major_20241118000328,periodic_20260310002820|major_20250218001596,0.0,0.0,0.0,0.0,False,True,True,True,16.25,4.19,20.44
16,삼성전자 자기주식취득과 처분 결정 이력 비교해줘,multi_compare,major_20241115000375|major_20250218000019|major_20250523000601|major_20250708000011|major_20250725000794|major_20251030000502|major_20260107000715|major_20260126000001|major_20260129000003|major_20260129000004|major_20260318001062|major_20260318001203,major_20250218001596|major_20260318001062|major_20250708000011|major_20250523000601|major_20260126000001|major_20260318001203|major_20250725000794|major_20251030000502,0.333,0.583,0.5,0.65,True,True,True,True,18.17,18.6,36.77
20,삼성전자 2026년 1월 자기주식취득예정금액이 취득예정주식수 대비 1주당 얼마인지 계산해줘,calculation,major_20260107000715,periodic_20260310002820,0.0,0.0,0.0,0.0,False,True,True,True,13.57,6.0,19.57
24,삼성전자 자기주식취득 규모가 전년 대비 얼마나 늘었어?,calculation,major_20250218000019|major_20260107000715,major_20250218001596|major_20241118000328|major_20260318001062|major_20250708000011|major_20260107000715,0.5,0.5,0.2,0.237,True,True,True,True,12.69,6.15,18.84
28,삼성전자 삼성물산 보유목적이 뭐야?,ownership_analysis,holding_20250905000524,holding_20250919000589|holding_20251017000512|periodic_20260515002181|holding_20251024000542|holding_20250905000524|holding_20251031000575|holding_20260109000680|periodic_20260310002820,1.0,1.0,0.2,0.387,True,True,True,True,19.44,5.65,25.09
32,삼성전자 자기주식 보유 비율 알려줘,ownership_analysis,periodic_20260310002820,major_20260318001203|major_20260318001062|major_20250523000601|major_20250725000794|major_20260129000004,0.0,0.0,0.0,0.0,False,True,True,True,10.32,6.49,16.81
36,삼성전자 반도체 위탁생산 공급계약 체결했어?,event_analysis,exchange_20250728800035|exchange_20250731800028,periodic_20260310002820|periodic_20260515002181|exchange_20250731800028,0.5,0.5,0.333,0.307,True,True,True,True,10.73,5.13,15.86
40,삼성전자 2024년 10월 해외상장 관련 공시 있었어?,event_analysis,major_20241031000508|major_20241031000536,major_20250213001808|major_20241031000508|major_20250213001817|major_20241031000536|periodic_20260310002820,1.0,1.0,0.5,0.651,True,True,True,True,14.33,7.38,21.72
