id,route,question,answer,grade,iterations,n_citations,validation_passed,warnings
1,single_lookup,삼성전자 2024년 매출액 얼마야?,"제공된 근거에서 삼성전자의 2024년 매출액을 찾을 수 있습니다. 

- 2024년도(제56기) 매출액은 **174조 8,877억 원**입니다.

이는 EVIDENCE 13의 '사업부문별 요약 재무 현황' 부분에서 확인할 수 있습니다.

근거: report_id(periodic_20250311001085), chunk_id(main::P13::C13)",PASS,4,15,True,
2,single_lookup,SK하이닉스 2024년 영업이익 알려줘,"제공된 근거로는 확인할 수 없습니다.

근거: report_id(chunk_id), ...",HONEST_NO_EVIDENCE,2,5,True,
3,single_lookup,현대자동차 2023년 당기순이익은?,"제공된 근거에 따르면 현대자동차의 2023년 당기순이익은 **3,311,539백만원**입니다. 이 정보는 2023년 1분기(2023년 3월) 분기보고서에 명시되어 있습니다.

근거: periodic_20230515002403::main::P25::C1",PASS,2,5,True,
4,single_lookup,삼성전자 연구개발비 얼마야?,"제공된 근거에 따르면 삼성전자의 연구개발비는 다음과 같습니다:

- **2025년 9월** (최근 분기): 7,518,872백만 원 (장부금액 기준), 23,136,556백만 원 (누적)
- **2025년 12월** (사업보고서, 최근): 32,580,027백만 원
- **2024년 12월**: 34,998,142백만 원 (전기 대비 증가)

따라서 가장 최근 분기의 연구개발비는 **7,518,872백만 원**이며, 이는 누적 금액으로는 **23,136,556백만 원**입니다. 

근거: report_id(chunk_id):
- periodic_20251114002447::main::P18::C17
- periodic_20260310002820::main::P18::C36
- periodic_20250311001085::main::P16::C51
- periodic_20250814003156::main::P18::C16
- periodic_20260310002820::main::P1",PASS,2,5,True,
5,single_lookup,SK하이닉스 부채총액 알려줘,"제공된 근거에는 SK하이닉스의 부채총액에 대한 정보가 포함되어 있지 않습니다. 따라서 답변을 제공할 수 없습니다.

근거: report_id(chunk_id): periodic_20240814001887::main::P16::C2, periodic_20250319000665::main::P16::C2, periodic_20250515002103::main::P16::C2, periodic_20250814003049::main::P16::C2, periodic_20241114001712::main::P16::C2",PASS,4,15,True,
6,single_lookup,현대자동차 2024년 사업보고서에서 매출액 찾아줘,"제공된 근거에는 현대자동차의 2024년 사업보고서에 대한 직접적인 언급이나 정보가 포함되어 있지 않습니다. 따라서 해당 문서들에서는 2024년도 사업보고서의 매출액 정보를 찾을 수 없습니다.

근거: report_id(chunk_id), ... 
- periodic_20250515001159::main::P20::C4
- periodic_20251114002658::main::P20::C4
- periodic_20240516001860::main::P22::C52
- periodic_20260515002418::main::P20::C4
- periodic_20240516001860::main::P22::C71",PASS,2,5,True,
7,single_lookup,삼성전자 최근 분기 영업이익률은?,"제공된 근거로는 삼성전자의 최근 분기 영업이익률을 직접적으로 확인할 수 없습니다.

근거: report_id(chunk_id), periodic_20230515002335::main::P16::C35, periodic_20231114002109::main::P18::C13, periodic_20230515002335::main::P18::C12, periodic_20231114002109::main::P16::C38, periodic_20230515002335::main::P33::C5",HONEST_NO_EVIDENCE,2,5,True,
8,single_lookup,SK하이닉스 자본총계 알려줘,"제공된 근거에는 SK하이닉스의 정확한 자본총계가 명시되어 있지 않습니다. 따라서 답변을 제공할 수 없습니다.

근거: report_id(chunk_id), ...",PASS,2,5,True,
9,single_lookup,현대자동차 총 임직원 수 알려줘,"제공된 근거로는 현대자동차의 총 임직원 수를 직접적으로 확인할 수 없습니다.

근거:
- report_id(periodic_20251114002658), chunk_id(periodic_20251114002658::main::P23::C61)
- report_id(periodic_20260515002418), chunk_id(periodic_20260515002418::main::P23::C57)
- report_id(periodic_20260515002418), chunk_id(periodic_20260515002418::main::P25::C30)
- report_id(periodic_20241114002593), chunk_id(periodic_20241114002593::main::P24::C26)
- report_id(periodic_20250515001159), chunk_id(periodic_20250515001159::main::P23::C58)",PASS,3,5,True,
10,single_lookup,삼성전자 대표이사 누구야?,"제공된 근거에 따르면, 2024년 말부터 현재까지 삼성전자 대표이사는 **한종희** 사내이사입니다. 또한, 2025년 말에는 추가로 **노태문** 사내이사도 대표이사로 선임될 예정입니다. 경계현 전 대표이사는 2024년 5월 21일 대표이사직과 사내이사직을 사임하였습니다.

근거: report_id(chunk_id): periodic_20240814003284::main::P3::C1, periodic_20260310002820::main::P3::C1, periodic_20250814003156::main::P3::C1, periodic_20250311001085::main::P3::C1, periodic_20240312000736::main::P3::C1",PASS,2,5,True,
11,single_lookup,SK하이닉스 상장일이 언제야?,"SK하이닉스의 상장일은 **2009년 11월 11일**입니다. 

이 정보는 '회사 주권상장(또는 등록·지정) 일자' 항목에서 확인할 수 있습니다. 또한 종목 코드는 034730이며, 특례상장 유형은 해당사항이 없다고 기재되어 있습니다.

근거: report_id(chunk_id): periodic_20251114001805::main::P29::C3, periodic_20231114002574::main::P29::C3, periodic_20241114001712::main::P29::C3, periodic_20230814002376::main::P2::C2, periodic_20240814001887::main::P29::C3",PASS,2,5,True,
12,single_lookup,현대자동차 결산월이 몇 월이야?,"현대자동차의 결산월은 **12월**입니다. 이는 여러 공시문서에서 확인할 수 있으며, 특히 각 연도의 결산배당의 결산월 항목에서 '2023년 12월', '2024년 12월' 등으로 명시되어 있습니다. 이러한 정보는 현대자동차가 회계연도를 1월부터 12월까지로 설정하고 있음을 나타냅니다.

근거: report_id(chunk_id): periodic_20250515001159::main::P26::C2, periodic_20251114002658::main::P26::C2",PASS,2,5,True,
13,correction_analysis,삼성전자 정정공시에서 뭐가 바뀌었어?,"제공된 정보에는 삼성전자에 대한 여러 공시 문서들이 포함되어 있으며, 이 중 일부는 수정 공시로 나타나 있습니다. 예를 들어, '주요사항보고서(자기주식취득결정)' 문서는 두 번의 수정 공시가 있었고, 가장 최근의 수정 일자는 2024년 5월 18일입니다. 또한 '단일판매ㆍ공급계약체결' 문서도 한 번 수정되었으며, 이는 2024년 7월 31일에 이루어졌습니다.

그러나 제공된 데이터만으로는 각 수정 사항의 구체적인 내용을 알 수 없습니다. 즉, 어떤 정보가 변경되었는지 직접적인 설명을 드릴 수는 없습니다. 일반적으로 이러한 주요사항 보고서나 계약 체결 보고서의 경우, 주식 취득이나 처분 금액, 계약 조건 등의 세부 내용이 수정될 가능성이 높습니다.

수정된 공시문서에 대해 더 자세한 정보를 원하신다면 해당 문서를 직접 확인하시거나 전문가에게 문의하시는 것이 좋습니다.

근거: report_id(major_20241115000375, major_20250218000019, exchang",FAIL_UNGROUNDED,2,0,False,[근거 없는 숫자 의심] 답변에 있지만 Evidence/Tool Result 에서 찾을 수 없는 숫자: ['2024']; 정정 분석 질문인데 원본/정정본 근거가 모두 확보되지 않음 (정정 체인 재검색 필요할 수 있음)
14,correction_analysis,SK하이닉스 사업보고서가 왜 정정됐어?,"제공된 근거로는 SK하이닉스의 사업보고서가 정정된 이유를 알 수 없습니다. 현재 확인 가능한 문서들은 모두 '정정' 상태가 아닌 '원본' 상태로 나타나 있습니다.

근거: report_id(periodic_20240319000684), report_id(periodic_20250319000665), report_id(periodic_20260317000635)",FAIL_UNGROUNDED,2,0,False,정정 분석 질문인데 원본/정정본 근거가 모두 확보되지 않음 (정정 체인 재검색 필요할 수 있음)
15,correction_analysis,현대자동차 정정 전후 매출액 비교해줘,"제공된 근거로는 현대자동차의 정정 전후 매출액을 비교할 수 없습니다.

근거: report_id(periodic_20250515001159), report_id(periodic_20260515002418)",FAIL_UNGROUNDED,5,18,False,정정 분석 질문인데 원본/정정본 근거가 모두 확보되지 않음 (정정 체인 재검색 필요할 수 있음)
16,correction_analysis,삼성전자 최근 정정공시 있었어?,"최근 삼성전자에 대한 정정공시가 있었습니다. 가장 최근에 정정된 공시는 '**[기정정]** 주요사항보고서(자기주식취득결정)""**'이며**, 이는 **2024년 5월 18일**에 등록되었습니다.

근거: major_20250218001596, major_20250218000019",FAIL_UNGROUNDED,2,0,False,[근거 없는 숫자 의심] 답변에 있지만 Evidence/Tool Result 에서 찾을 수 없는 숫자: ['2024']; 정정 분석 질문인데 원본/정정본 근거가 모두 확보되지 않음 (정정 체인 재검색 필요할 수 있음)
