query_id,query,gold,retrieved_top10,recall@10,rr,ndcg@10,latency_sec
1,삼성전자 2025년 사업보고서에서 매출액 알려줘,periodic_20260310002820,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820,1.0,1.0,1.0,0.045
2,삼성전자 2026년 1분기 영업이익 얼마야?,periodic_20260515002181,periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181,1.0,1.0,1.0,0.0417
3,삼성전자 연구개발비 얼마야?,periodic_20260310002820|periodic_20260515002181,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181,1.0,1.0,0.877,0.0415
5,삼성전자 반도체 위탁생산 계약금액 얼마야?,exchange_20250731800028,periodic_20260515002181|exchange_20250728800035|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|exchange_20250731800028|periodic_20260310002820|periodic_20260310002820,1.0,0.125,0.315,0.0413
6,삼성전자 2026년 1월 자기주식 취득예정금액 얼마야?,major_20260107000715,major_20260129000003|major_20250708000011|major_20260107000715|major_20260318001062|major_20260129000004|major_20250218000019|major_20260318001203|major_20241115000375|major_20260126000001|major_20260129000004,1.0,0.333,0.5,0.0423
7,삼성전자 해외증권시장 상장 결정 내용 알려줘,major_20250213001817,major_20241031000536|major_20241031000508|major_20250213001808|major_20250213001817|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,0.25,0.431,0.0419
9,삼성전자 2024년 11월 자기주식취득 공시 정정 전후로 뭐가 바뀌었어?,major_20241115000375|major_20241118000171|major_20241118000328,major_20241118000171|major_20241118000328|major_20250218001596|major_20241118000171|major_20241115000375|major_20241118000328|periodic_20260310002820|major_20260129000003|periodic_20260310002820|major_20260107000715,1.0,1.0,0.947,0.0419
10,삼성전자 2025년 2월 자기주식취득 정정공시 내용 알려줘,major_20250218000019|major_20250218001596,major_20250218001596|major_20241118000171|major_20241118000328|major_20250218000019|major_20250708000011|periodic_20260310002820|exchange_20250731800028|major_20250218000019|holding_20251024000542|holding_20250919000589,1.0,1.0,0.877,0.0412
11,삼성전자 단일판매공급계약체결 정정 전후 비교해줘,exchange_20250728800035|exchange_20250731800028,exchange_20250731800028|exchange_20250728800035|major_20241118000328|major_20241118000171|periodic_20260310002820|major_20250218001596|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,0.0442
13,삼성전자 최근 정정공시 이력 알려줘,major_20241118000171|major_20241118000328|major_20250218001596|exchange_20250731800028,exchange_20250731800028|major_20241118000171|major_20241118000328|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|major_20250218001596|periodic_20260310002820|periodic_20260310002820,1.0,1.0,0.955,0.0421
