query_id,query,gold,retrieved_top10,recall@10,rr,ndcg@10,latency_sec
1,삼성전자 2025년 사업보고서에서 매출액 알려줘,periodic_20260310002820,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,0.0908
2,삼성전자 2026년 1분기 영업이익 얼마야?,periodic_20260515002181,periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181,1.0,1.0,1.0,0.087
3,삼성전자 연구개발비 얼마야?,periodic_20260310002820|periodic_20260515002181,periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181,1.0,1.0,1.0,0.0742
5,삼성전자 반도체 위탁생산 계약금액 얼마야?,exchange_20250731800028,exchange_20250728800035|periodic_20260310002820|periodic_20260515002181|exchange_20250731800028|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,0.25,0.431,0.085
6,삼성전자 2026년 1월 자기주식 취득예정금액 얼마야?,major_20260107000715,major_20260129000003|major_20260318001062|major_20260107000715|major_20250708000011|major_20260129000003|major_20260318001062|periodic_20260310002820|major_20250218000019|major_20260318001062|major_20260129000003,1.0,0.333,0.5,0.096
7,삼성전자 해외증권시장 상장 결정 내용 알려줘,major_20250213001817,major_20241031000536|major_20250213001817|major_20241031000508|major_20250213001808|periodic_20260310002820|major_20260129000004|major_20250725000794|major_20260126000001|major_20251030000502|major_20250523000601,1.0,0.5,0.631,0.0801
9,삼성전자 2024년 11월 자기주식취득 공시 정정 전후로 뭐가 바뀌었어?,major_20241115000375|major_20241118000171|major_20241118000328,major_20241118000171|major_20241118000328|major_20241115000375|major_20241118000328|major_20241118000171|major_20260126000001|major_20250218001596|periodic_20260310002820|major_20250708000011|major_20260318001062,1.0,1.0,1.0,0.121
10,삼성전자 2025년 2월 자기주식취득 정정공시 내용 알려줘,major_20250218000019|major_20250218001596,major_20250218000019|major_20250708000011|major_20260318001062|major_20260129000003|major_20250218001596|major_20250218000019|major_20260107000715|major_20250708000011|major_20260318001062|major_20260129000003,1.0,1.0,0.85,0.1004
11,삼성전자 단일판매공급계약체결 정정 전후 비교해줘,exchange_20250728800035|exchange_20250731800028,exchange_20250731800028|exchange_20250728800035|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,0.0977
13,삼성전자 최근 정정공시 이력 알려줘,major_20241118000171|major_20241118000328|major_20250218001596|exchange_20250731800028,exchange_20250731800028|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,0.25,1.0,0.39,0.0819
