query_id,query,gold,retrieved_top5,hit@1,hit@3,rr,ndcg@5,latency_sec
1,삼성전자 2025년 사업보고서에서 매출액 알려줘,periodic_20260310002820,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,1.0,12.8838
2,삼성전자 2026년 1분기 영업이익 얼마야?,periodic_20260515002181,periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181,1.0,1.0,1.0,1.0,11.1963
3,삼성전자 연구개발비 얼마야?,periodic_20260310002820|periodic_20260515002181,periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181,1.0,1.0,1.0,1.0,11.1491
5,삼성전자 반도체 위탁생산 계약금액 얼마야?,exchange_20250731800028,exchange_20250728800035|exchange_20250731800028|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181,0.0,1.0,0.5,0.631,11.1758
6,삼성전자 2026년 1월 자기주식 취득예정금액 얼마야?,major_20260107000715,major_20260107000715|major_20260129000003|major_20250708000011|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,1.0,11.369
7,삼성전자 해외증권시장 상장 결정 내용 알려줘,major_20250213001817,major_20241031000536|major_20241031000508|major_20250213001817|major_20250213001808|periodic_20260310002820,0.0,1.0,0.333,0.5,11.5076
9,삼성전자 2024년 11월 자기주식취득 공시 정정 전후로 뭐가 바뀌었어?,major_20241115000375|major_20241118000171|major_20241118000328,major_20241118000328|major_20250708000011|major_20241118000171|major_20241118000171|major_20241118000328,1.0,1.0,1.0,0.704,11.4334
10,삼성전자 2025년 2월 자기주식취득 정정공시 내용 알려줘,major_20250218000019|major_20250218001596,major_20250218001596|major_20250218001596|major_20250218000019|major_20241115000375|major_20250218001596,1.0,1.0,1.0,0.92,11.3854
11,삼성전자 단일판매공급계약체결 정정 전후 비교해줘,exchange_20250728800035|exchange_20250731800028,exchange_20250731800028|exchange_20250728800035|major_20250218001596|major_20241118000328|periodic_20260310002820,1.0,1.0,1.0,1.0,10.4806
13,삼성전자 최근 정정공시 이력 알려줘,major_20241118000171|major_20241118000328|major_20250218001596|exchange_20250731800028,exchange_20250731800028|major_20250218001596|major_20241118000328|major_20241118000171|periodic_20260310002820,1.0,1.0,1.0,1.0,9.809
14,삼성전자 공급계약 계약상대방이 정정으로 어떻게 바뀌었어?,exchange_20250731800028,exchange_20250731800028|periodic_20260310002820|periodic_20260515002181|exchange_20250728800035|periodic_20260310002820,1.0,1.0,1.0,1.0,11.3789
15,삼성전자 최근 지분 변동 추이 알려줘,holding_20250905000524|holding_20250919000589|holding_20251017000512|holding_20251024000542|holding_20251031000575|holding_20251107000558|holding_20260109000680|holding_20260116000451|holding_20260123000544|holding_20260130000730,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|holding_20250905000524|holding_20260109000680,0.0,0.0,0.25,0.277,11.2305
17,삼성전자 2025년과 2026년 자기주식취득 규모 비교해줘,major_20250218000019|major_20250708000011|major_20260107000715|major_20260129000003|major_20260318001062,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,0.0,0.0,0.167,0.0,11.1823
