query_id,query,gold,retrieved_top10,recall@10,rr,ndcg@10,latency_sec
1,삼성전자 2025년 사업보고서에서 매출액 알려줘,periodic_20260310002820,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,0.0003
2,삼성전자 2026년 1분기 영업이익 얼마야?,periodic_20260515002181,periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181,1.0,1.0,1.0,0.0001
3,삼성전자 연구개발비 얼마야?,periodic_20260310002820|periodic_20260515002181,periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820,1.0,1.0,0.92,0.0001
5,삼성전자 반도체 위탁생산 계약금액 얼마야?,exchange_20250731800028,periodic_20260515002181|periodic_20260310002820|exchange_20250728800035|exchange_20250731800028|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181,1.0,0.25,0.431,0.0001
6,삼성전자 2026년 1월 자기주식 취득예정금액 얼마야?,major_20260107000715,major_20260107000715|major_20260129000003|major_20241115000375|major_20241118000171|major_20241118000328|major_20260318001062|major_20250708000011|major_20250708000011|major_20250218000019|major_20250218000019,1.0,1.0,1.0,0.0001
7,삼성전자 해외증권시장 상장 결정 내용 알려줘,major_20250213001817,major_20241031000536|major_20250213001808|major_20241031000508|major_20250213001817|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|holding_20251017000512|holding_20250905000524|holding_20251107000558,1.0,0.25,0.431,0.0001
9,삼성전자 2024년 11월 자기주식취득 공시 정정 전후로 뭐가 바뀌었어?,major_20241115000375|major_20241118000171|major_20241118000328,major_20241118000171|major_20241118000328|major_20250218001596|major_20241115000375|periodic_20260515002181|major_20241118000171|major_20241118000328|major_20250708000011|major_20260129000003|major_20250218001596,1.0,1.0,0.967,0.0001
10,삼성전자 2025년 2월 자기주식취득 정정공시 내용 알려줘,major_20250218000019|major_20250218001596,major_20250218001596|major_20241118000171|major_20241118000328|major_20250218000019|major_20250218001596|periodic_20260310002820|major_20250218000019|major_20250218001596|periodic_20260515002181|major_20241115000375,1.0,1.0,0.877,0.0001
11,삼성전자 단일판매공급계약체결 정정 전후 비교해줘,exchange_20250728800035|exchange_20250731800028,exchange_20250731800028|exchange_20250728800035|periodic_20260310002820|major_20241118000171|major_20241118000328|major_20250218001596|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,0.0001
13,삼성전자 최근 정정공시 이력 알려줘,major_20241118000171|major_20241118000328|major_20250218001596|exchange_20250731800028,exchange_20250731800028|periodic_20260515002181|major_20241118000171|major_20241118000328|major_20250218001596|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,1.0,0.905,0.0001
14,삼성전자 공급계약 계약상대방이 정정으로 어떻게 바뀌었어?,exchange_20250731800028,exchange_20250731800028|periodic_20260515002181|periodic_20260310002820|exchange_20250728800035|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181,1.0,1.0,1.0,0.0001
15,삼성전자 최근 지분 변동 추이 알려줘,holding_20250905000524|holding_20250919000589|holding_20251017000512|holding_20251024000542|holding_20251031000575|holding_20251107000558|holding_20260109000680|holding_20260116000451|holding_20260123000544|holding_20260130000730,periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820,0.0,0.0,0.0,0.0001
17,삼성전자 2025년과 2026년 자기주식취득 규모 비교해줘,major_20250218000019|major_20250708000011|major_20260107000715|major_20260129000003|major_20260318001062,periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|major_20260129000003|major_20260318001062|major_20260318001062|major_20260107000715|major_20260318001062|major_20260129000003,0.6,0.2,0.359,0.0001
18,삼성전자 사업보고서와 분기보고서 실적 비교해줘,periodic_20260310002820|periodic_20260515002181,periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181,1.0,1.0,0.877,0.0001
19,삼성전자 삼성물산 보유주식 변동 추이 알려줘,holding_20250905000524|holding_20250919000589|holding_20251017000512|holding_20251024000542|holding_20251031000575|holding_20251107000558|holding_20260109000680|holding_20260116000451|holding_20260123000544|holding_20260130000730,holding_20260130000730|holding_20251024000542|holding_20250905000524|holding_20251031000575|holding_20250919000589|holding_20260116000451|holding_20260109000680|holding_20251017000512|holding_20260123000544|holding_20251107000558,1.0,1.0,1.0,0.0001
21,삼성전자 반도체 위탁생산 계약금액이 최근매출액 대비 몇 %야?,exchange_20250731800028,exchange_20250728800035|exchange_20250731800028|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181,1.0,0.5,0.631,0.0001
22,삼성전자 영업이익률 계산해줘,periodic_20260310002820|periodic_20260515002181,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181,1.0,1.0,0.79,0.0001
23,삼성전자 부채비율 계산해줘,periodic_20260310002820,periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820,1.0,1.0,1.0,0.0001
25,삼성전자 최대주주가 누구야?,periodic_20260310002820,periodic_20260310002820|holding_20260123000544|holding_20260109000680|holding_20251017000512|holding_20250919000589|holding_20260130000730|holding_20251107000558|holding_20251031000575|holding_20260116000451|holding_20250905000524,1.0,1.0,1.0,0.0001
26,삼성전자 삼성물산 보유지분율 알려줘,holding_20260130000730,periodic_20260515002181|periodic_20260310002820|holding_20260123000544|holding_20260130000730|holding_20251017000512|holding_20251107000558|holding_20250905000524|holding_20260116000451|holding_20250919000589|holding_20251024000542,1.0,0.25,0.431,0.0001
27,삼성전자 최근 대량보유상황보고서 내용 알려줘,holding_20260130000730,holding_20250919000589|holding_20260130000730|holding_20251107000558|holding_20251017000512|holding_20251024000542|holding_20260123000544|holding_20251031000575|holding_20260109000680|holding_20260116000451|holding_20250905000524,1.0,0.5,0.631,0.0001
29,삼성전자 지분 보고자 특별관계자 현황 알려줘,holding_20250905000524|holding_20250919000589|holding_20251017000512|holding_20251024000542|holding_20251031000575|holding_20251107000558|holding_20260109000680|holding_20260116000451|holding_20260123000544|holding_20260130000730,holding_20250905000524|holding_20251107000558|holding_20250919000589|holding_20260109000680|holding_20260123000544|holding_20260116000451|holding_20260130000730|holding_20251031000575|holding_20251024000542|holding_20251017000512,1.0,1.0,1.0,0.0001
30,삼성전자 2025년 9월 지분보고 내용 알려줘,holding_20250905000524,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|holding_20251017000512|holding_20250919000589|periodic_20260310002820,0.0,0.0,0.0,0.0001
